epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1387.51,0.27724,2.26393,0.86324,0.0399,1,0.07185,0.06939,0.28874,2.27619,0.82904,0.000191242,0.000191242,0.000191242
45,1408.73,0.27422,2.26207,0.88056,0.03973,1,0.06787,0.06535,0.29457,2.26205,0.82859,0.000187945,0.000187945,0.000187945
46,1430.83,0.28656,2.26716,0.8749,0.03893,1,0.08313,0.08025,0.28771,2.25681,0.82241,0.000184649,0.000184649,0.000184649
47,1452.09,0.27617,2.24644,0.87136,0.03887,1,0.09412,0.09149,0.28388,2.26693,0.83463,0.000181352,0.000181352,0.000181352
48,1474.46,0.2753,2.26748,0.87137,0.03946,1,0.07951,0.07517,0.27951,2.31999,0.82025,0.000178055,0.000178055,0.000178055
49,1495.97,0.26497,2.27059,0.86919,0.03934,1,0.06575,0.06221,0.27643,2.28276,0.82389,0.000174758,0.000174758,0.000174758
50,1518.02,0.2741,2.25928,0.86589,0.03774,1,0.0687,0.06489,0.28973,2.23194,0.83449,0.000171462,0.000171462,0.000171462
51,1539.22,0.26785,2.25261,0.87623,0.03932,1,0.07346,0.07099,0.27319,2.25705,0.81309,0.000168165,0.000168165,0.000168165
52,1561.55,0.26669,2.24742,0.86372,0.03991,1,0.07202,0.06886,0.26726,2.26102,0.80642,0.000164868,0.000164868,0.000164868
53,1583.22,0.26949,2.24394,0.87559,0.03941,1,0.08123,0.07783,0.29163,2.26561,0.84746,0.000161572,0.000161572,0.000161572
54,1603.91,0.26375,2.24725,0.86339,0.03965,1,0.09782,0.0925,0.29922,2.23699,0.83939,0.000158275,0.000158275,0.000158275
55,1626.14,0.25426,2.2427,0.8605,0.03929,1,0.09078,0.08772,0.30068,2.26645,0.8454,0.000154978,0.000154978,0.000154978
56,1647.52,0.27012,2.24719,0.8644,0.03983,1,0.08765,0.08249,0.28155,2.26139,0.82171,0.000151682,0.000151682,0.000151682
57,1669.69,0.25899,2.23211,0.86267,0.0394,1,0.09887,0.09493,0.28457,2.26281,0.82047,0.000148385,0.000148385,0.000148385
58,1690.67,0.26185,2.22964,0.86721,0.03946,1,0.07505,0.07204,0.29026,2.31375,0.84335,0.000145088,0.000145088,0.000145088
59,1713.26,0.24792,2.2325,0.86598,0.03974,1,0.0837,0.07928,0.28881,2.29217,0.83552,0.000141791,0.000141791,0.000141791
60,1734.59,0.25302,2.23678,0.86746,0.03918,1,0.08437,0.08188,0.28728,2.26327,0.82371,0.000138495,0.000138495,0.000138495
61,1756.53,0.25021,2.23119,0.8591,0.03972,1,0.08955,0.08645,0.27635,2.2433,0.81605,0.000135198,0.000135198,0.000135198
62,1778.15,0.24615,2.23262,0.86375,0.03961,1,0.09897,0.0951,0.26766,2.23792,0.81773,0.000131901,0.000131901,0.000131901
63,1800.83,0.26543,2.23439,0.86859,0.03979,1,0.08594,0.08181,0.2747,2.21836,0.82421,0.000128605,0.000128605,0.000128605
64,1821.7,0.24227,2.23151,0.85933,0.03981,1,0.08347,0.08002,0.27669,2.21073,0.82812,0.000125308,0.000125308,0.000125308
65,1844.08,0.24477,2.21892,0.85785,0.0398,1,0.08062,0.07726,0.26494,2.25041,0.81319,0.000122011,0.000122011,0.000122011
66,1866.27,0.24438,2.23244,0.86516,0.03942,0.992,0.07182,0.06872,0.26876,2.3008,0.81553,0.000118714,0.000118714,0.000118714
67,1887.36,0.24057,2.22746,0.85908,0.03957,0.992,0.07431,0.07029,0.26052,2.27765,0.82011,0.000115418,0.000115418,0.000115418
68,1909.33,0.23083,2.22277,0.8552,0.03969,0.992,0.07015,0.06792,0.25817,2.28214,0.81913,0.000112121,0.000112121,0.000112121
69,1930.68,0.22425,2.21244,0.85135,0.03954,0.992,0.06556,0.06327,0.26882,2.32337,0.81422,0.000108824,0.000108824,0.000108824
70,1952.09,0.23355,2.23166,0.85144,0.03971,0.992,0.07342,0.06955,0.27067,2.29711,0.81166,0.000105528,0.000105528,0.000105528
71,1973.75,0.23218,2.22745,0.86121,0.03999,1,0.07456,0.07089,0.27974,2.26737,0.8142,0.000102231,0.000102231,0.000102231
72,1996.59,0.2313,2.21326,0.85459,0.03956,0.992,0.08205,0.07868,0.26873,2.27746,0.81315,9.89343e-05,9.89343e-05,9.89343e-05
73,2017.4,0.23502,2.20869,0.85663,0.03926,0.992,0.08396,0.08122,0.27102,2.25596,0.8092,9.56376e-05,9.56376e-05,9.56376e-05
74,2039.7,0.24671,2.21346,0.86985,0.03924,0.992,0.06884,0.06669,0.27121,2.27085,0.80424,9.23409e-05,9.23409e-05,9.23409e-05
75,2061.14,0.22726,2.21918,0.85245,0.03967,1,0.07642,0.07409,0.25459,2.2898,0.79496,8.90442e-05,8.90442e-05,8.90442e-05
76,2084.09,0.22327,2.21551,0.85376,0.03987,0.992,0.08586,0.08217,0.25205,2.28926,0.79954,8.57475e-05,8.57475e-05,8.57475e-05
77,2104.68,0.22437,2.21052,0.85378,0.03973,0.992,0.0782,0.07555,0.2622,2.28294,0.80331,8.24508e-05,8.24508e-05,8.24508e-05
78,2127.18,0.21392,2.20788,0.85287,0.03983,0.992,0.07744,0.07448,0.26582,2.30123,0.8097,7.91541e-05,7.91541e-05,7.91541e-05
79,2148.58,0.22603,2.21574,0.86212,0.03964,0.992,0.08147,0.07887,0.27693,2.30338,0.82167,7.58574e-05,7.58574e-05,7.58574e-05
80,2171.36,0.22794,2.22142,0.86026,0.03949,0.992,0.07337,0.0714,0.2674,2.27395,0.80922,7.25607e-05,7.25607e-05,7.25607e-05
81,2193.05,0.21697,2.18885,0.85119,0.03968,0.992,0.0668,0.06427,0.27031,2.29454,0.8054,6.9264e-05,6.9264e-05,6.9264e-05
82,2215.15,0.21353,2.19361,0.84715,0.03979,1,0.07978,0.07728,0.26879,2.30447,0.81013,6.59673e-05,6.59673e-05,6.59673e-05
83,2237.6,0.211,2.19612,0.84341,0.03974,0.992,0.06805,0.06496,0.26803,2.3403,0.81204,6.26706e-05,6.26706e-05,6.26706e-05
84,2258.73,0.21924,2.20786,0.85546,0.03976,0.992,0.07994,0.07687,0.25849,2.30607,0.8008,5.93739e-05,5.93739e-05,5.93739e-05
85,2280.97,0.20889,2.1899,0.84676,0.03986,0.992,0.07992,0.07658,0.25582,2.28436,0.79834,5.60772e-05,5.60772e-05,5.60772e-05
